"은행명","계좌구분","계좌번호","계좌별칭","계좌잔액","인출가능잔액","약정금액","이자율","개설일자","만기일자","해지여부","해지일자"
산업은행,수시입출,"24424239255532",KDBdream 기업 Account,14206.00,14206.00,,,,"",,
국민은행,수시입출,"72835923225197",사업자응원통장-KB우대기업통장,0.00,0.00,,,,"",,
국민은행,수시입출,"03962322222267",사업자응원통장-보통예금,0.00,0.00,,,,"",,
부산은행,수시입출,"3354223519826",기업자유예금 (거래중지계좌),0.00,0.00,,,,"",,
기업은행,수시입출,"21528400723230",보통예금,0.00,0.00,,,,"",,
농협,수시입출,"5232231642363",보통예금,0.00,0.00,,,,"",,
부산은행,수시입출,"338352275050",기업자유예금,135424.00,135424.00,,,,"",,
아이엠뱅크,수시입출,"53234224360",기업자유예금,0.00,0.00,,,,"",,
아이엠뱅크,수시입출,"24534229433",기업자유예금,0.00,0.00,,,,"",,
부산은행,수시입출,"338352279989",기업자유예금 (거래중지계좌),0.00,0.00,,,,"",,
농협,수시입출,"5232204547713",보통예금,0.00,0.00,,,,"",,
농협,수시입출,"5232383872213",보통예금,0.00,0.00,,,,"",,
부산은행,수시입출,"3354223519922",기업자유예금 (거래중지계좌),0.00,0.00,,,,"",,
국민은행,수시입출,"23215926228760",KB우대기업자유-기업자유,0.00,0.00,,,,"",,
국민은행,수시입출,"58655926227068",KB우대기업자유-기업자유,0.00,0.00,,,,"",,
국민은행,수시입출,"71022323380513",KB기업종합통장-보통예금,0.00,0.00,,,,"",,
부산은행,수시입출,"3354223519720",기업자유예금 (거래중지계좌),0.00,0.00,,,,"",,
국민은행,수시입출,"061472223672",KB기업종합통장-기업자유,9605.00,9605.00,,,,"",,
국민은행,수시입출,"289232738993",KB기업종합통장-보통예금,208552.00,208552.00,,,,"",,
기업은행,수시입출,"72222128026236",기업자유예금(일자리나눔통장),0.00,0.00,,,,"",,
기업은행,수시입출,"88222663426232",기업자유예금,0.00,0.00,,,,"",,
하나은행,수시입출,"36213223036326",기업자유예금,496205.00,496205.00,,,,"",,
하나은행,수시입출,"36101252073527",보통예금,0.00,0.00,,,,"",,
아이엠뱅크,수시입출,"726328330156",기업자유예금,0.00,0.00,,,,"",,
국민은행,수시입출,"60192323770612",일반보통예금,0.00,0.00,,,,"",,
하나은행,수시입출,"32859694322526",수퍼플러스,0.00,0.00,,,,"",,
하나은행,수시입출,"37201225904826",기업자유예금,0.00,0.00,,,,"",,
국민은행,수시입출,"33932323223291",KB기업종합통장-보통예금,2931500.00,2931500.00,,,,"",,
하나은행,수시입출,"32301293529827",보통예금,0.00,0.00,,,,"",,
국민은행,수시입출,"72832323483248",KB종합통장-보통예금,0.00,0.00,,,,"",,
국민은행,수시입출,"03965922222460",KB기업종합통장-기업자유,0.00,0.00,,,,"",,
하나은행,수시입출,"47913222995927",보통예금,0.00,0.00,,,,"",,
하나은행,수시입출,"32859694322326",기업자유예금,1104243.00,1104243.00,,,,"",,
하나은행,수시입출,"47913225710526",기업자유예금,0.00,0.00,,,,"",,
하나은행,수시입출,"47913222560074",퇴직연금（확정급여）,55176990.00,55176990.00,,,,,N,
경남은행,수시입출,"769292281718",보통예금,0.00,0.00,,,,"",,
기업은행,수시입출,"20425101326277",IBK플러스기업자유예금,0.00,0.00,,,,"",,
기업은행,수시입출,"38621261226239",기업자유예금,0.00,0.00,,,,"",,
