"use_intt_id","biz_no","bank_cd","acct_no","trsc_dt","trsc_seq_no","curr_cd","loan_trsc_dv","acct_no_ext","trsc_tm","trsc_amt","loan_trsc_amt","loan_bal","loan_rate","loan_intr_st_dt","loan_intr_en_dt","loan_intr_period","loan_intr_amt","loan_intr_nrml_amt","loan_intr_over_amt","loan_intr_rtrn_amt","note1","note2","reg_dtm","corc_dtm","mnul_wrt_yn","cust_type_cont","cust_brn"
WP2148635102_02,"2148635102","10000003","1742223315422368","20241202",0.00,KRW,이자수입,,,2005396.00,0.00,1000000000.00,4.32,,"20241201",0.00,2005396.00,0.00,0.00,0.00,"","","20241202104329","0241202191947",N,,
WP2148635102_02,"2148635102","10000003","1742223315422368","20241202",1.00,KRW,기간연장,,,1000000000.00,0.00,0.00,0.00,,"",0.00,0.00,0.00,0.00,0.00,"","","20241202104329","0241202191947",N,,
WP2148635102_02,"2148635102","10000003","1742224295322253","20241120",0.00,KRW,이자수입,,,437465.00,0.00,70000000.00,6.38,,"20241119",0.00,437465.00,0.00,0.00,0.00,"","","20241120074026","0241126211954",N,,
WP2148635102_02,"2148635102","10000003","1742223315422368","20241115",0.00,KRW,이자수입,,,3656898.00,0.00,1000000000.00,4.32,,"20241114",0.00,3656898.00,0.00,0.00,0.00,"","","20241115091853","0241121091953",N,,
WP2148635102_02,"2148635102","10000003","1742223315422326","20241115",0.00,KRW,이자수입,,,26874070.00,0.00,7000000000.00,4.52,,"20241114",0.00,26874070.00,0.00,0.00,0.00,"","","20241115091853","0241121091953",N,,
WP2148635102_02,"2148635102","10000003","1742224295322253","20241115",0.00,KRW,원금상환,,,50000000.00,50000000.00,70000000.00,6.38,,"20241114",0.00,0.00,0.00,0.00,0.00,"","","20241116053701","0241121091953",N,,
WP2148635102_02,"2148635102","10000003","17422923811AS224","20241113",0.00,KRW,기간연장,,,1000000.00,0.00,0.00,0.00,,"",0.00,0.00,0.00,0.00,0.00,"","","20241113182902","0241119211954",N,,
WP2148635102_02,"2148635102","10000003","17422923826278","20241113",0.00,KRW,기간연장,,,1000000000.00,0.00,0.00,0.00,,"",0.00,0.00,0.00,0.00,0.00,"","","20241113182900","0241119211954",N,,
WP2148635102_02,"2148635102","10000003","1742292381154253","20241113",0.00,KRW,기간연장,,,3000000000.00,0.00,0.00,0.00,,"",0.00,0.00,0.00,0.00,0.00,"","","20241113182901","0241119211954",N,,
WP2148635102_02,"2148635102","10000003","3423358861154253","20241113",0.00,KRW,기간연장,,,6000000000.00,0.00,0.00,0.00,,"",0.00,0.00,0.00,0.00,0.00,"","","20241113182858","0241119211954",N,,
WP2148635102_02,"2148635102","10000003","1742224295322253","20241108",0.00,KRW,분할실행,,,40000000.00,40000000.00,120000000.00,6.38,,"20241107",0.00,0.00,0.00,0.00,0.00,"","","20241108142329","0241114211959",N,,
WP2148635102_02,"2148635102","10000003","17422923826278","20241106",0.00,KRW,이자원가,,,0.00,0.00,0.00,0.00,,"",0.00,0.00,0.00,0.00,0.00,"","","20241106053721","0241112191956",N,,
WP2148635102_02,"2148635102","10000003","3423351401154253","20241028",0.00,KRW,금리조정등록,,,4000000000.00,0.00,0.00,0.00,,"",0.00,0.00,0.00,0.00,0.00,"","","20241028143056","0241103212002",N,,
WP2148635102_02,"2148635102","10000003","3423351401154253","20241025",0.00,KRW,기간연장,,,4000000000.00,0.00,0.00,0.00,,"",0.00,0.00,0.00,0.00,0.00,"","","20241025101545","0241031092034",N,,
WP2148635102_02,"2148635102","10000003","1742224295322253","20241025",0.00,KRW,분할실행,,,40000000.00,40000000.00,80000000.00,6.38,,"20241024",0.00,0.00,0.00,0.00,0.00,"","","20241025143359","0241031092034",N,,
WP2148635102_02,"2148635102","10000003","1742224295322253","20241021",0.00,KRW,이자수입,,,209147.00,0.00,40000000.00,6.38,,"20241019",0.00,209147.00,0.00,0.00,0.00,"","","20241021100556","0241027212004",N,,
